id,XINGBIE,CSNY,HYZK,ZHIYE,ZHICHEN,ZHIWU,XUELI,DWJJLX,DWSSHY,GRJCJS,GRZHZT,GRZHYE,GRZHSNJZYE,GRZHDNGJYE,GRYJCE,DWYJCE,DKFFE,DKYE,DKLL,label
train_30,1,617900400,90,90,999,0,99,150,2,1487.0,2,237.0,5035.485,205.735,337.0,337.0,150237,144131.54,2.708,1
train_48,2,236534400,90,90,999,0,99,190,14,12811.5,1,9848.19,126559.69,1312.375,1745.94,1745.94,250237,190577.89,2.708,1
train_52,1,365443200,90,90,999,0,99,900,18,7865.5,1,1446.065,1147.38,-410.955,1152.42,1152.42,250237,193987.09,2.708,1
train_58,2,239212800,90,90,999,0,99,150,14,1860.5,1,431.82,447.72,234.415,334.41,334.41,175237,20653.755,2.292,1
train_67,2,31507200,90,90,999,0,99,110,18,4217.0,1,2147.4,14111.925,-8842.16,714.62,714.62,250237,184635.96,2.708,1
train_76,1,707328000,90,90,999,0,99,190,9,6269.5,1,33367.16,25047.2,4029.77,960.9,960.9,50237,29403.75,2.708,1
train_84,2,257529600,90,90,999,0,99,110,15,4865.5,1,3333.125,25698.615,-26712.82,792.42,792.42,150237,137267.3,2.979,1
train_140,1,410198400,90,90,999,0,99,110,18,4354.5,1,237.0,3640.195,220.685,731.13,731.13,350237,277490.855,2.708,1
train_186,2,420566400,90,90,999,0,99,110,18,1817.0,1,25254.94,28767.315,-18678.22,426.6,426.6,317737,267995.255,2.708,1
train_187,2,607363200,90,90,999,0,99,150,14,1192.0,1,1980.81,1164.275,771.8,303.85,303.85,125237,91382.725,2.708,1
train_200,2,410198400,90,90,999,0,99,110,15,7155.0,1,52966.72,33902.615,6097.8,1067.16,1067.16,125237,105892.5,2.708,1
train_207,1,194457600,90,90,999,0,99,110,14,6133.5,1,46512.635,25394.595,5897.64,944.58,944.58,350237,209557.79,2.708,1
train_223,2,686246400,90,90,999,0,99,110,15,4660.5,1,15184.505,7667.615,5545.2,767.82,767.82,100237,56096.98,2.708,1
train_254,1,772992000,90,90,999,0,99,160,14,4457.0,1,16657.06,15397.795,-7898.82,743.4,743.4,150237,148747.59,2.708,1
train_268,2,428515200,90,90,999,0,99,110,15,9224.0,1,158804.775,118537.235,11021.4,1315.44,1315.44,125237,100701.51,2.708,1
train_287,1,52502400,90,90,999,0,99,900,8,12811.0,1,73893.29,71827.41,12308.04,1745.88,1745.88,350237,278778.585,2.708,1
train_293,1,191952000,90,90,999,0,99,190,15,6598.5,1,24373.1,24572.53,-16659.22,1000.38,1000.38,350237,295962.49,2.708,1
train_294,1,557420400,90,90,999,0,99,150,15,3632.0,1,53694.25,237.0,-911.48,644.4,644.4,300237,297258.17,2.708,1
train_314,1,536428800,90,90,999,0,99,900,16,1192.0,1,58040.695,53540.29,1153.8,351.6,351.6,250237,221306.74,2.708,1
train_317,2,509990400,90,90,999,0,99,900,16,8381.0,1,9758.935,2727.605,4162.0,1214.28,1214.28,300237,261022.125,2.708,1
train_319,1,541526400,90,90,999,0,99,190,15,6038.5,1,39734.18,29169.145,2983.625,933.18,933.18,125237,107408.7,2.708,1
train_374,1,381340800,90,90,999,0,99,110,18,6972.0,1,237.0,249.03,227.705,1045.23,1045.23,250237,140362.105,2.708,1
train_386,2,184003200,90,90,999,0,99,110,18,5393.5,1,9194.98,271.325,5303.45,855.805,855.805,150237,237.0,2.292,1
train_387,1,194457600,90,90,999,0,99,900,8,12811.0,1,237.0,3540.93,-1921.945,1745.88,1745.88,150237,134383.175,2.708,1
train_420,1,344448000,90,90,999,0,99,110,12,6537.5,1,452.27,1338.875,-1106.53,993.06,993.06,150237,119989.22,2.708,1
train_424,1,276019200,90,90,999,0,99,190,15,6450.5,1,18243.92,5936.425,4414.4,982.62,982.62,250237,143466.18,2.708,1
train_438,1,178732800,90,90,999,0,99,150,14,2262.0,1,12162.03,21818.84,1371.0,378.75,378.75,150237,118733.565,2.979,1
train_459,2,394300800,90,90,999,0,99,110,16,4538.5,1,1269.36,263.33,401.285,753.18,753.18,350237,284282.62,2.708,1
train_466,2,565286400,90,90,999,0,99,110,18,4231.5,1,547.655,19218.44,-23627.055,716.355,716.355,200237,130905.91,2.708,1
train_518,2,255110400,90,90,999,0,99,110,18,4306.0,1,2200.44,1027.785,883.345,724.96,724.96,250237,161732.535,2.708,1
train_563,2,552063600,90,90,999,0,99,160,14,3099.5,1,5730.13,2981.58,2985.0,580.5,580.5,250237,183358.385,2.708,1
train_579,2,436464000,90,90,999,0,99,900,16,12720.0,1,38099.05,49146.5,9012.145,1734.96,1734.96,150237,123847.995,2.708,1
train_585,1,84124800,90,90,999,0,99,110,18,5758.0,1,9771.295,7771.97,-196.87,899.525,899.525,250237,179602.75,2.708,1
train_586,1,31507200,90,90,999,0,99,150,15,9127.5,1,90867.545,53748.09,10905.6,1303.86,1303.86,200237,86696.865,2.708,1
train_600,1,370713600,90,90,999,0,99,900,14,5477.0,1,8107.58,14092.42,3646.135,865.8,865.8,125237,81955.27,2.708,1
train_604,1,31507200,90,90,999,0,99,110,18,9127.5,1,67718.02,72148.65,6287.83,1303.86,1303.86,230237,237.0,2.979,1
train_622,2,594316800,90,90,999,0,99,190,15,4554.0,1,24528.34,9009.475,3624.34,755.04,755.04,150237,149615.865,2.979,1
train_636,1,302284800,90,90,999,0,99,150,14,5737.0,2,324.24,3680.09,237.0,787.0,787.0,137737,14613.455,2.708,1
train_642,2,31507200,90,90,999,0,99,110,18,3057.0,1,42498.92,33269.215,6731.7,575.4,575.4,125237,237.0,2.292,1
train_647,2,383760000,90,90,999,0,99,170,14,6953.0,1,48307.145,31852.245,-3271.335,1042.92,1042.92,70237,56820.295,2.979,1
train_648,1,546793200,90,90,999,0,99,170,14,1987.0,2,3469.795,2687.835,237.0,359.5,359.5,350237,325245.14,2.708,1
train_667,2,441734400,90,90,999,0,99,900,16,12803.0,1,21952.325,18454.73,8903.24,1744.92,1744.92,250237,165973.515,2.708,1
train_674,1,273427200,90,90,999,0,99,110,18,4437.0,1,15760.105,3574.16,3375.48,741.005,741.005,200237,64819.955,2.708,1
train_682,1,78768000,90,90,999,0,99,190,15,7443.5,1,13686.56,7896.21,2947.0,1101.78,1101.78,195237,145513.99,2.979,1
train_693,1,41875200,90,90,999,0,99,900,3,6852.5,1,8841.65,3351.015,3257.185,832.395,832.395,200237,47224.255,2.708,1
train_698,1,439056000,90,90,999,0,99,900,14,5732.5,1,1555.92,291.285,481.105,896.46,896.46,300237,268157.21,2.708,1
train_699,2,31507200,90,90,999,0,99,110,14,4403.0,1,67397.36,47362.57,4236.36,736.92,736.92,49737,1453.58,2.708,1
train_714,2,678294000,90,90,999,0,99,190,9,8573.5,1,36061.56,38773.51,-15996.67,1237.38,1237.38,150237,146467.65,2.708,1
train_734,1,486403200,90,90,999,0,99,110,12,4602.0,1,1284.6,1346.09,220.99,760.8,760.8,325237,266006.715,2.708,1
train_746,1,509990400,90,90,999,0,99,150,14,1550.0,1,8422.44,15060.15,-1464.3,328.91,328.91,125237,116498.415,2.708,1
train_756,1,244483200,90,90,999,0,99,110,18,5287.5,1,237.0,277.63,222.74,843.085,843.085,300237,269932.37,2.708,1
train_759,1,468086400,90,90,999,0,99,190,15,5237.0,1,1437.0,7708.165,-234.075,837.0,837.0,150237,145436.395,2.708,1
train_780,1,468086400,90,90,999,0,99,900,16,12689.0,1,62181.685,38076.545,8094.95,1731.24,1731.24,200237,170792.585,2.708,1
train_789,2,496944000,90,90,999,0,99,110,18,4077.0,1,2080.2,11530.735,-700.15,697.8,697.8,157237,6989.345,2.708,1
train_828,2,644166000,90,90,999,0,99,150,14,4237.0,1,1917.0,748.665,-52.315,517.0,517.0,94237,85975.855,2.708,1
train_889,2,202406400,90,90,999,0,99,160,6,1027.0,2,256.14,1832.915,237.0,331.8,331.8,67737,49060.23,2.708,1
train_903,2,383760000,90,90,999,0,99,190,15,5420.0,1,15627.02,21666.1,5790.84,858.96,858.96,250237,215865.675,2.708,1
train_932,2,160416000,90,90,999,0,99,190,20,6500.0,1,3243.24,1694.37,1722.12,988.56,988.56,350237,275699.98,2.708,1
train_944,2,662659200,90,90,999,0,99,900,16,1192.0,1,466.2,516.825,234.115,351.6,351.6,225237,195581.47,2.979,1
train_968,1,149788800,90,90,999,0,99,190,15,8787.0,1,2289.0,6014.615,2262.02,1263.0,1263.0,200237,74046.415,2.708,1
train_976,1,31507200,90,90,999,0,99,150,15,8710.5,1,2270.64,10612.38,4930.385,1253.82,1253.82,250237,46195.32,2.708,1
train_1007,2,436464000,90,90,999,0,99,900,14,8430.5,1,24797.49,19876.07,1488.405,1220.22,1220.22,200237,167867.79,2.708,1
train_1042,1,557420400,90,90,999,0,99,900,16,9754.5,1,4805.4,35432.045,-27650.125,1379.1,1379.1,125237,237.0,2.708,1
train_1060,2,612630000,90,90,999,0,99,110,15,4243.5,1,2405.15,286.38,1438.095,717.78,717.78,290237,170731.89,2.708,1
train_1111,1,476035200,90,90,999,0,99,190,5,8174.5,1,40858.105,39028.005,2316.37,1189.5,1189.5,250237,201070.235,2.708,1
train_1118,2,449596800,90,90,999,0,99,150,15,5557.0,1,1513.8,42453.95,1156.935,875.4,875.4,230237,215689.19,2.979,1
train_1134,1,457459200,90,90,999,0,99,150,8,1142.0,2,258.395,2104.07,237.0,282.25,282.25,60237,51216.38,2.708,1
train_1140,1,541526400,90,90,999,0,99,900,14,8269.5,1,2298.375,2429.56,3341.7,879.6,879.6,150237,99232.605,2.708,1
train_1164,1,491673600,90,90,999,0,99,110,18,4944.5,1,27432.9,17640.185,-6743.37,801.935,801.935,250237,105518.25,2.708,1
train_1165,2,512668800,90,90,999,0,99,110,16,3952.5,1,26839.46,13068.14,3744.96,682.86,682.86,125237,94194.295,2.708,1
train_1169,2,539107200,90,90,999,0,99,150,6,6624.0,1,21067.825,10490.48,3969.48,1003.44,1003.44,200237,124525.51,2.708,1
train_1175,1,649436400,90,90,999,0,99,190,5,6402.0,1,11995.085,2733.645,3617.36,976.8,976.8,125237,105098.24,2.708,1
train_1231,2,31507200,90,90,999,0,99,900,16,12811.5,1,37844.17,38692.71,1482.505,1745.94,1745.94,300237,259374.1,2.708,1
train_1257,2,178732800,90,90,999,0,99,900,16,12811.5,1,834.12,25581.05,-1466.655,1745.94,1745.94,350237,278087.77,2.708,1
train_1260,1,383760000,90,90,999,0,99,110,18,1694.0,1,2335.965,11837.395,992.92,411.84,411.84,150237,135349.285,2.708,1
train_1266,2,441734400,90,90,999,0,99,900,16,12811.5,1,69549.935,48856.995,6737.52,1745.94,1745.94,125237,108262.16,2.708,1
train_1308,1,396979200,90,90,999,0,99,190,15,5806.0,1,2844.96,709.63,2129.62,905.28,905.28,350237,227485.925,2.708,1
train_1310,1,509990400,90,90,999,0,99,160,9,9518.5,1,92210.735,68256.06,9147.24,1350.78,1350.78,200237,163059.23,2.708,1
train_1313,1,675702000,90,90,999,0,99,170,14,5185.5,1,929.79,273.015,607.43,583.395,583.395,137737,120549.475,2.708,1
train_1320,1,381340800,90,90,999,0,99,100,12,3970.0,1,2896.605,60386.11,1928.84,684.96,684.96,150237,72322.55,2.708,1
train_1352,2,820425600,90,90,999,0,99,900,14,1624.0,1,5209.115,2057.41,1013.72,334.09,334.09,86737,84154.485,2.708,1
train_1359,2,546793200,90,90,999,0,99,190,15,5731.0,1,11222.235,10074.95,1533.705,896.28,896.28,100237,68570.27,2.708,1
train_1370,1,544204800,90,90,999,0,99,170,14,1192.0,1,332.5,288.735,140.66,284.75,284.75,90237,82158.135,2.708,1
train_1376,2,512668800,90,90,999,0,99,150,7,1237.0,1,637.0,2099.82,-1180.81,337.0,337.0,225237,184243.8,2.708,1
train_1379,2,420566400,90,90,999,0,99,110,18,6082.0,1,34571.505,13639.945,4057.84,938.42,938.42,190237,237.0,2.979,1
train_1384,1,212947200,90,90,999,0,99,110,18,4853.5,1,21164.955,19329.83,1029.42,791.03,791.03,231237,191967.0,2.708,1
train_1395,2,357494400,90,90,999,0,99,110,17,6926.5,1,22920.6,10093.475,5706.12,1039.74,1039.74,240237,137459.095,2.979,1
train_1423,2,155059200,90,90,999,0,99,160,9,6237.0,1,27171.465,19685.09,1100.06,957.0,957.0,200237,166074.275,2.708,1
train_1432,2,473356800,90,90,999,0,99,900,16,1192.0,1,466.225,13779.67,-16053.7,351.6,351.6,100237,91223.23,2.708,1
train_1446,2,31507200,90,90,999,0,99,900,15,7614.5,1,19799.18,23188.745,7319.4,1122.3,1122.3,225237,13307.01,2.708,1
